	ID	strand	Same Strand: Host_gene_name	Same Strand: Host_gene_ensembl_id	Same Strand: Repeat_Type	Same Strand: RNA_type_Classification	Transcript	CLIP_LISI_Dist	ID_LINESINE	repClass_LINESINE	repName_LINESINE
1	chr1:118538765-118538807	+	Clasp1	ENSMUSG00000064302	NA	protein_coding: Intron	ENSMUST00000165223	-179	chr1:118538392-118538586	SINE	B3A
2	chr1:126375322-126375382	-	Nckap5	ENSMUSG00000049690	SINE	Repeat Element	ENSMUST00000057846	-48	chr1:126375370-126375591	SINE	B4
3	chr1:126538223-126538297	-	Nckap5	ENSMUSG00000049690	LTR	Repeat Element	ENSMUST00000112583	-2087	chr1:126540310-126540410	SINE	RSINE1
4	chr1:134423308-134423356	+	Adipor1	ENSMUSG00000026457	NA	protein_coding: Intron	ENSMUST00000027727	159	chr1:134423467-134423614	SINE	RSINE1
5	chr1:143783836-143783888	+	Uchl5	ENSMUSG00000018189	NA	protein_coding: Intron	ENSMUST00000189936	-366	chr1:143783274-143783470	SINE	B2_Mm2
6	chr1:156018556-156018614	-	Tor1aip1	ENSMUSG00000026466	SINE	Repeat Element	ENSMUST00000027738	0	chr1:156007776-156007942	SINE	B3A
7	chr1:157391061-157391085	-	Rasal2	ENSMUSG00000070565	SINE	Repeat Element	ENSMUST00000132699	0	chr1:157146600-157146741	SINE	ID_B1
8	chr1:162738387-162738423	-	Prrc2c	ENSMUSG00000040225	NA	protein_coding: Intron	ENSMUST00000182660	-134	chr1:162738521-162738630	SINE	MIRb
9	chr1:171453810-171453856	+	F11r	ENSMUSG00000038235	NA	protein_coding: Intron	ENSMUST00000043839	184	chr1:171453994-171454090	SINE	PB1D10
10	chr1:174551442-174551486	+	Fmn2	ENSMUSG00000028354	NA	protein_coding: Intron	ENSMUST00000030039	1205	chr1:174552647-174552730	SINE	B4A
11	chr1:174558919-174558974	+	Fmn2	ENSMUSG00000028354	LTR	Repeat Element	ENSMUST00000030039	2483	chr1:174561402-174561541	SINE	B1_Mm
12	chr1:179163980-179164015	-	Smyd3	ENSMUSG00000055067	NA	protein_coding: Intron	ENSMUST00000128302	3606	chr1:179160316-179160374	SINE	ID_B1
13	chr1:181983221-181983255	-	Enah	ENSMUSG00000022995	SINE	Repeat Element	ENSMUST00000111030	0	chr1:181906553-181906686	SINE	B4
14	chr1:181987372-181987438	-	Enah	ENSMUSG00000022995	NA	protein_coding: Intron	ENSMUST00000111030	-385	chr1:181987757-181987945	SINE	MIRb
15	chr1:183321729-183321754	+	Aida	ENSMUSG00000042901	NA	protein_coding: Intron	ENSMUST00000109166	-82	chr1:183321506-183321647	SINE	B1_Mus1
16	chr1:39943590-39943622	+	Map4k4	ENSMUSG00000026074	NA	protein_coding: Intron	ENSMUST00000192509	6896	chr1:39950486-39950567	LINE	L3b
17	chr1:57917175-57917211	+	Spats2l	ENSMUSG00000038305	NA	protein_coding: Intron	ENSMUST00000169772	2490	chr1:57919665-57919757	LINE	L2a
18	chr1:58972349-58972385	-	Trak2	ENSMUSG00000026028	NA	protein_coding: Intron	ENSMUST00000027186	407	chr1:58971874-58971942	SINE	MIR3
19	chr1:60522473-60522515	-	Raph1	ENSMUSG00000026014	NA	protein_coding: Intron	ENSMUST00000140485	519	chr1:60521882-60521954	SINE	PB1D7
20	chr1:63292016-63292068	+	Zdbf2	ENSMUSG00000027520	LINE	Repeat Element	ENSMUST00000029025	0	chr1:63290565-63290807	LINE	L1ME3B
21	chr1:66260318-66260358	+	Map2	ENSMUSG00000015222	NA	protein_coding: Intron	ENSMUST00000114018	858	chr1:66261176-66261299	SINE	RSINE1
22	chr1:71620722-71620766	-	Fn1	ENSMUSG00000026193	NA	protein_coding: Intron	ENSMUST00000055226	-641	chr1:71621363-71621512	SINE	B1_Mus1
23	chr1:71639484-71639540	-	Fn1	ENSMUSG00000026193	NA	protein_coding: Intron	ENSMUST00000055226	3918	chr1:71635429-71635566	SINE	B1_Mm
24	chr1:74476623-74476670	-	Usp37	ENSMUSG00000033364	NA	protein_coding: Intron	ENSMUST00000044260	-131	chr1:74476754-74476921	SINE	RSINE1
25	chr1:80322414-80322472	-	Cul3	ENSMUSG00000004364	NA	protein_coding: Intron	ENSMUST00000164108	-3797	chr1:80326211-80326256	LINE	L3
