1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51
chr1:115713505_+	0.28	0.28	0.26	0.26	0.26	0.24	0.26	0.28	0.28	0.26	0.26	0.26	0.26	0.24	0.24	0.22	0.22	0.24	0.24	0.22	0.22	0.22	0.2	0.22	0.22	0.22	0.22	0.2	0.2	0.2	0.2	0.18	0.2	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.2	0.22	0.22	0.22	0.2	0.22	0.22	0.22
chr1:118538765_+	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.14	0.14	0.12	0.12	0.12	0.12	0.1	0.12	0.12	0.14	0.14	0.14	0.12	0.12	0.1	0.1	0.1	0.1	0.1	0.12	0.12	0.12	0.1	0.1	0.08	0.1	0.12	0.12	0.12	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.12
chr1:126375382_-	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.02	0.02	0.04	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.08	0.08	0.08	0.08
chr1:126538297_-	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.5	0.5	0.5	0.48	0.48	0.46	0.46	0.44	0.44	0.42	0.42	0.4	0.4
chr1:134423308_+	0.2	0.2	0.2	0.2	0.2	0.2	0.18	0.18	0.18	0.18	0.2	0.2	0.2	0.18	0.18	0.18	0.2	0.22	0.22	0.22	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.22	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.18	0.18	0.16	0.16	0.16	0.16	0.18	0.18	0.18	0.16	0.16	0.16
chr1:143783836_+	0.24	0.26	0.24	0.24	0.24	0.24	0.24	0.24	0.22	0.2	0.2	0.2	0.2	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.2	0.2	0.2	0.22	0.22	0.22	0.22	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.18	0.16	0.14	0.14	0.14	0.14	0.12	0.12	0.12	0.12	0.12	0.12	0.1	0.08	0.08	0.08	0.08
chr1:152844779_-	0.16	0.14	0.14	0.14	0.12	0.12	0.12	0.1	0.1	0.1	0.1	0.1	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.06	0.08	0.08	0.08	0.1	0.1	0.1	0.08	0.08	0.08	0.08	0.1	0.1	0.1	0.1	0.12	0.14	0.16	0.18	0.16	0.16	0.16	0.16	0.18	0.2	0.22	0.22	0.22	0.2	0.22	0.22	0.22
chr1:156018614_-	0.08	0.06	0.06	0.06	0.06	0.04	0.04	0.02	0.02	0.02	0.02	0.02	0.02	0.04	0.02	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.06	0.06	0.06	0.06	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.12	0.12	0.12	0.12
chr1:157391085_-	0.22	0.22	0.22	0.22	0.22	0.22	0.2	0.2	0.2	0.2	0.18	0.16	0.16	0.18	0.16	0.14	0.14	0.14	0.14	0.12	0.12	0.12	0.12	0.12	0.1	0.1	0.1	0.08	0.08	0.08	0.08	0.08	0.08	0.06	0.06	0.06	0.04	0.04	0.04	0.06	0.06	0.04	0.06	0.06	0.08	0.08	0.08	0.08	0.08	0.08	0.08
chr1:159784462_+	0.2	0.2	0.2	0.2	0.2	0.2	0.18	0.18	0.18	0.2	0.22	0.22	0.22	0.2	0.2	0.22	0.24	0.26	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.3	0.28	0.28	0.28	0.26	0.26	0.24	0.26	0.26	0.26	0.26	0.28	0.28	0.28	0.3	0.3	0.3	0.3	0.28	0.28	0.28	0.26	0.26	0.28	0.28	0.28
