	CLIP_ID	Transcript	Closest LISI_Dist SameStrand	Upstream LISI_Dist SameStrand	Downstream LISI_Dist SameStrand	Closest repClass SameStrand	Closest repName SameStrand	Closest LISI_Dist OppositeStrand	Upstream LISI_Dist OppositeStrand	Downstream LISI_Dist OppositeStrand	Closest repClass OppositeStrand	Closest repName OppositeStrand	Closest LISI_Dist BothStrand	Upstream LISI_Dist BothStrand	Downstream LISI_Dist BothStrand	Closest repClass BothStrand	Closest repName BothStrand
1	chr1:115713505-115713552	ENSMUST00000043725	-4205	-4205	5589	SINE	B3	0	0	0	LINE	Lx5	0	0	0	LINE	Lx2B2
2	chr1:118538765-118538807	ENSMUST00000165223	-179	-179	775	SINE	B3A	9324	-10019	9324	SINE	B1_Mus1	-179	-179	775	SINE	B3A
3	chr1:126375322-126375382	ENSMUST00000057846	0	0	0	LINE	L1_Mur1	-691	-691	1655	LINE	Lx8	0	0	0	SINE	B4
4	chr1:126538223-126538297	ENSMUST00000112583	-2013	-2013	7753	SINE	RSINE1	2097	-9244	2097	SINE	B4A	-2013	-2013	2097	SINE	RSINE1
5	chr1:134423308-134423356	ENSMUST00000027727	159	-1111	159	SINE	RSINE1	-519	-519	4282	SINE	B1_Mus1	159	-519	159	SINE	RSINE1
6	chr1:143783836-143783888	ENSMUST00000189936	-366	-366	1028	SINE	B2_Mm2	235	-1600	235	SINE	B2_Mm2	235	-366	235	SINE	B2_Mm2
7	chr1:152844737-152844779	ENSMUST00000073441	-1835	-1835	4919	SINE	B2_Mm1t	0	0	0	SINE	B3	0	0	0	SINE	B1_Mm
8	chr1:156018556-156018614	ENSMUST00000027738	0	0	0	SINE	B3A	-228	-228	1849	SINE	ID4	0	0	0	SINE	B3A
9	chr1:157391061-157391085	ENSMUST00000132699	0	0	0	SINE	ID_B1	-159	-159	582	LINE	L1M4	0	0	0	LINE	Lx8b
10	chr1:159784462-159784519	ENSMUST00000111669	2456	-5312	2456	LINE	L1_Mus4	0	0	0	LINE	L1MA5	0	0	0	LINE	L1MA5
11	chr1:162738387-162738423	ENSMUST00000182660	-98	-98	1129	SINE	MIRb	417	-473	417	SINE	B1_Mur3	-98	-98	417	SINE	MIRb
12	chr1:167313415-167313473	ENSMUST00000195015	-655	-655	2239	SINE	B3A	0	0	0	LINE	L2c	0	0	0	SINE	PB1D10
13	chr1:171453810-171453856	ENSMUST00000043839	184	-1367	184	SINE	PB1D10	-105	-105	568	SINE	B1_Mus1	-105	-105	184	SINE	B1_Mus1
14	chr1:174551442-174551486	ENSMUST00000030039	1205	-3792	1205	SINE	B4A	1335	-4135	1335	SINE	ID4	1205	-3792	1205	SINE	B4A
15	chr1:174558919-174558974	ENSMUST00000030039	2483	-6189	2483	SINE	B1_Mm	2673	-4121	2673	SINE	B3	2483	-4121	2483	SINE	B1_Mm
16	chr1:179163980-179164015	ENSMUST00000128302	3641	-5937	3641	SINE	ID_B1	-1964	-1964	3989	SINE	MIRb	-1964	-1964	3641	SINE	MIRb
17	chr1:181834156-181834211	ENSMUST00000005003	-642	-642	1774	SINE	B2_Mm1t	0	0	0	SINE	B1_Mus1	0	0	0	SINE	B1_Mus1
18	chr1:181983221-181983255	ENSMUST00000111030	0	0	0	SINE	B4	131	-815	131	LINE	L1M5	0	0	0	SINE	B4
