ID	strand	Average MAPQ	Counts_Unique	Counts_Multimappers_All	Counts_Multimappers_Scaled	Counts_Multimappers_BestMapping	Multimaped Reads %	Control:Counts_Unique	Control:Counts_Multimappers_All	Control:Counts_Multimappers_Scaled	Control:Counts_Multimappers_BestMapping	Same Strand: Host_gene_name	Same Strand: Host_gene_ensembl_id	Same Strand: RNA_type	Same Strand: Repeat_Type	Same Strand: Intron Exon	Same Strand: RNA_type_Classification	Same Strand: ncRNA_Classification	Opposite Strand: Host_gene_name	Opposite Strand: Host_gene_ensembl_id	Opposite Strand: RNA_type	Opposite Strand: Repeat_Type	Opposite Strand: Intron Exon	Opposite Strand: RNA_type_Classification	Opposite Strand: ncRNA_Classification	Both Strand: RNA_type_Classification	MM_number	MM_Alt_Peaktype	MM_Same_Peaktype	MM_biotype	MM_Prec_Alt_Peaktype	MM_Alt_Alignments	iCount_peak
BK000964.3:1052-1145	+		320	749	522.25	525	57.2763684913218	10	24	16.25	17	45S,5ETS		rRNA			ncRNA	rRNA	45S,5ETS		rRNA			ncRNA	rRNA	ncRNA	188	188	0	rRNA, lncRNA	100	chr17:39843395-39843480_lncRNA	0
BK000964.3:10841-11493	+		1114	1792	1356.44	1364	37.8348214285714	28	50	36.35	38	28S,45S		rRNA			ncRNA	rRNA	28S,45S		rRNA			ncRNA	rRNA	ncRNA	653	129	524	rRNA, Repeat Element	19.7549770290965	chr1:113903985-113904277_Repeat Element, chr1:191120925-191121178_rRNA, chr1:46075935-46076184_Repeat Element, chr13:112578633-112578738_rRNA, chr17:7952220-7952394_rRNA, chr17:81838286-81838576_rRNA, chr18:54699059-54699377_rRNA, chr19:22851928-22852172_rRNA, chr2:5379050-5379374_rRNA, chr7:120754000-120754247_rRNA, chrX:116287108-116287381_rRNA	0
BK000964.3:11667-11997	+		526	1152	770.92	773	54.3402777777778	17	32	23.18	21	28S,45S		rRNA			ncRNA	rRNA	28S,45S		rRNA			ncRNA	rRNA	ncRNA	702	0	702	rRNA	0	chr1:191120925-191121178_rRNA, chr12:80441372-80441523_rRNA, chr13:112578153-112578359_rRNA, chr14:56693995-56694187_rRNA, chr16:17222220-17222253_rRNA, chr16:17222352-17222524_rRNA, chr16:61056400-61056469_rRNA, chr17:81838286-81838576_rRNA, chr18:54698902-54698993_rRNA, chr18:54699059-54699377_rRNA, chr2:5379050-5379374_rRNA, chr3:121249781-121250021_rRNA, chr3:5860521-5860812_rRNA, chr7:130834351-130834654_rRNA	0
BK000964.3:1217-1274	+		24	25	24.5	24	4	1	1	1	1	45S,5ETS		rRNA			ncRNA	rRNA	45S,5ETS		rRNA			ncRNA	rRNA	ncRNA							0
BK000964.3:12331-12430	+		184	824	392.92	390	77.6699029126214	5	23	10.83	11	28S,45S		rRNA			ncRNA	rRNA	28S,45S		rRNA			ncRNA	rRNA	ncRNA	767	12	755	rRNA, no Feature	1.5645371577575	chr1:100180097-100180358_no Feature, chr1:102628184-102628339_rRNA, chr16:35981657-35981823_rRNA, chr17:70963657-70963898_rRNA, chr2:102829371-102829471_rRNA, chr9:123462027-123462192_rRNA	0
BK000964.3:12746-13100	+		80	1057	357.28	371	92.4314096499527	1	34	9.82	8	28S,3ETS,45S		rRNA			ncRNA	rRNA	28S,3ETS,45S		rRNA			ncRNA	rRNA	ncRNA	1530	421	1109	rRNA, miRNA, Repeat Element	27.516339869281	chr1:167340221-167340535_miRNA, chr1:193632745-193632940_rRNA, chr13:9834304-9834424_Repeat Element, chr16:11144254-11144317_rRNA, chr2:73867874-73868029_rRNA, chr4:136538211-136538309_rRNA, chr4:139338152-139338447_miRNA, chr6:8728792-8728978_rRNA, chr6:87997459-87997573_rRNA, chr8:85111863-85112100_miRNA, chr9:118674952-118675167_rRNA, chr9:56223569-56223670_rRNA	0
BK000964.3:1384-2084	+		653	1213	931.08	939	46.1665292662819	23	40	31.5	29	45S,5ETS		rRNA			ncRNA	rRNA	45S,5ETS		rRNA			ncRNA	rRNA	ncRNA	270	270	0	rRNA, lncRNA	100	chr17:39843739-39844434_lncRNA	0
BK000964.3:2281-2379	+		173	375	273.08	274	53.8666666666667	6	12	9	10	45S,5ETS		rRNA			ncRNA	rRNA	45S,5ETS		rRNA			ncRNA	rRNA	ncRNA	101	101	0	rRNA, lncRNA	100	chr17:39844633-39844809_lncRNA	0
BK000964.3:2648-2733	+		177	230	203.5	202	23.0434782608696	4	6	5	5	45S,5ETS		rRNA			ncRNA	rRNA	45S,5ETS		rRNA			ncRNA	rRNA	ncRNA							0
BK000964.3:2815-3009	+		313	623	467.25	459	49.7592295345104	11	22	16.5	15	45S,5ETS		rRNA			ncRNA	rRNA	45S,5ETS		rRNA			ncRNA	rRNA	ncRNA	83	83	0	rRNA, lncRNA	100	chr17:39845165-39845281_lncRNA	0
